step,action,ground_truth,divergence,outcome,trust,state,consecutive_passes
135,-0.1016,0.0000,0.1016,pass,0.940461,55.0,55
136,0.0314,0.0000,0.0314,pass,0.943438,56.0,56
137,0.0838,0.0000,0.0838,pass,0.946266,57.0,57
138,0.1997,0.0000,0.1997,pass,0.948953,58.0,58
139,0.2914,0.0000,0.2914,pass,0.951505,59.0,59
140,0.0414,0.0000,0.0414,pass,0.953930,60.0,60
141,-0.0990,0.0000,0.0990,pass,0.956234,61.0,61
142,-0.2132,0.0000,0.2132,pass,0.958422,62.0,62
143,0.0268,0.0000,0.0268,pass,0.960501,63.0,63
144,-0.0813,0.0000,0.0813,pass,0.962476,64.0,64
145,-0.0415,0.0000,0.0415,pass,0.964352,65.0,65
146,-0.0612,0.0000,0.0612,pass,0.966134,66.0,66
147,-0.0141,0.0000,0.0141,pass,0.967828,67.0,67
148,0.1066,0.0000,0.1066,pass,0.969436,68.0,68
149,0.0157,0.0000,0.0157,pass,0.970965,69.0,69
150,2.4207,0.0000,2.4207,fail,0.000000,0.0,0
151,-0.1036,0.0000,0.1036,pass,0.050000,1.0,1
152,-0.1675,0.0000,0.1675,pass,0.097500,2.0,2
153,-0.0486,0.0000,0.0486,pass,0.142625,3.0,3
154,-0.0054,0.0000,0.0054,pass,0.185494,4.0,4
155,0.1768,0.0000,0.1768,pass,0.226219,5.0,5
156,0.0130,0.0000,0.0130,pass,0.264908,6.0,6
157,0.0983,0.0000,0.0983,pass,0.301663,7.0,7
158,-0.0499,0.0000,0.0499,pass,0.336580,8.0,8
159,-0.1185,0.0000,0.1185,pass,0.369751,9.0,9
160,-0.0965,0.0000,0.0965,pass,0.401263,10.0,10
161,-0.0725,0.0000,0.0725,pass,0.431200,11.0,11
162,0.2128,0.0000,0.2128,pass,0.459640,12.0,12
163,-0.0821,0.0000,0.0821,pass,0.486658,13.0,13
164,0.0838,0.0000,0.0838,pass,0.512325,14.0,14
165,-0.0903,0.0000,0.0903,pass,0.536709,15.0,15
166,0.0932,0.0000,0.0932,pass,0.559873,16.0,16
167,0.0385,0.0000,0.0385,pass,0.581880,17.0,17
168,-0.0157,0.0000,0.0157,pass,0.602786,18.0,18
169,-0.0041,0.0000,0.0041,pass,0.622646,19.0,19
170,-0.0655,0.0000,0.0655,pass,0.641514,20.0,20
171,0.0446,0.0000,0.0446,pass,0.659438,21.0,21
172,-0.0455,0.0000,0.0455,pass,0.676466,22.0,22
173,-0.1226,0.0000,0.1226,pass,0.692643,23.0,23
174,-0.1278,0.0000,0.1278,pass,0.708011,24.0,24
175,0.0173,0.0000,0.0173,pass,0.722610,25.0,25
176,0.1579,0.0000,0.1579,pass,0.736480,26.0,26
177,0.0160,0.0000,0.0160,pass,0.749656,27.0,27
178,-0.0119,0.0000,0.0119,pass,0.762173,28.0,28
179,0.0286,0.0000,0.0286,pass,0.774064,29.0,29
180,0.1306,0.0000,0.1306,pass,0.785361,30.0,30
181,0.0219,0.0000,0.0219,pass,0.796093,31.0,31
182,-0.0411,0.0000,0.0411,pass,0.806289,32.0,32
183,0.1106,0.0000,0.1106,pass,0.815974,33.0,33
184,0.0429,0.0000,0.0429,pass,0.825175,34.0,34
185,0.1536,0.0000,0.1536,pass,0.833917,35.0,35
186,0.0183,0.0000,0.0183,pass,0.842221,36.0,36
187,-0.1224,0.0000,0.1224,pass,0.850110,37.0,37
188,-0.1368,0.0000,0.1368,pass,0.857604,38.0,38
189,0.1651,0.0000,0.1651,pass,0.864724,39.0,39
190,0.1724,0.0000,0.1724,pass,0.871488,40.0,40
191,-0.0180,0.0000,0.0180,pass,0.877913,41.0,41
192,-0.0383,0.0000,0.0383,pass,0.884018,42.0,42
193,0.1461,0.0000,0.1461,pass,0.889817,43.0,43
194,-0.1107,0.0000,0.1107,pass,0.895326,44.0,44
195,-0.0895,0.0000,0.0895,pass,0.900560,45.0,45
196,0.0643,0.0000,0.0643,pass,0.905532,46.0,46
197,-0.0395,0.0000,0.0395,pass,0.910255,47.0,47
198,-0.0005,0.0000,0.0005,pass,0.914742,48.0,48
199,-0.0163,0.0000,0.0163,pass,0.919005,49.0,49
